"","Korea","Saudi","Taiwan","Mexico","USA","China","Canada","Japan","HongKong","Date"
"2023-02-06",2438.18994140625,11893.26953125,15418.76953125,51959.19921875,3901.06005859375,3338.14990234375,19994.80078125,27427.3203125,21958.359375,2023-02-06
"2023-02-07",2451.7099609375,11829.5400390625,15615.41015625,51785.12890625,3871.97998046875,3385.61010742188,19958,27602.76953125,21660.470703125,2023-02-07
"2023-02-08",2483.63989257812,11572.1796875,15503.7900390625,51655.6796875,3856.10009765625,3393.330078125,19884.599609375,27501.859375,21222.16015625,2023-02-08
"2023-02-09",2481.52001953125,11446.330078125,15598.490234375,51544.94140625,3759.68994140625,3370.1298828125,19980.900390625,27696.439453125,21298.69921875,2023-02-09
"2023-02-10",2469.72998046875,11503.599609375,15598.7197265625,51360.87109375,3719.88989257812,3367.03002929688,19977.099609375,27513.130859375,21283.51953125,2023-02-10
"2023-02-13",2452.69995117188,11461.08984375,15608.419921875,51569.71875,3770.55004882812,3301.26000976562,20220,27531.939453125,21624.359375,2023-02-13
"2023-02-14",2465.63989257812,11161.3798828125,15763.509765625,51760.5390625,3806.80004882812,3275.40991210938,20282.30078125,27473.099609375,21190.419921875,2023-02-14
"2023-02-15",2427.89990234375,10909.1796875,15857.8896484375,51993.94921875,3828.11010742188,3264.8701171875,20344.099609375,27104.3203125,21164.419921875,2023-02-15
"2023-02-16",2475.47998046875,11017.3798828125,15818.2001953125,51979.01171875,3748.57006835938,3264.10009765625,20383.80078125,27453.48046875,21113.759765625,2023-02-16
"2023-02-17",2451.2099609375,11170.080078125,15770.66015625,51668.640625,3956.3701171875,3285.8798828125,20220.5,27423.9609375,20812.169921875,2023-02-17
"2023-02-20",2455.1201171875,11405.3203125,15526.2001953125,51081.328125,3992.92993164062,3323.27001953125,20277.400390625,27445.560546875,20987.669921875,2023-02-20
"2023-02-21",2458.9599609375,11487.0703125,15560.490234375,50174.05859375,3957.25,3350.4599609375,20453.30078125,27516.529296875,20719.810546875,2023-02-21
"2023-02-22",2417.67993164062,11607.9599609375,15360.419921875,51684.859375,3991.72998046875,3334.5,20525.5,27498.869140625,20886.9609375,2023-02-22
"2023-02-23",2439.09008789062,11780.41015625,15387.58984375,51457.55078125,3958.7900390625,3395,20485.69921875,27927.470703125,20529.490234375,2023-02-23
"2023-02-24",2423.61010742188,11770.3203125,15221.1201171875,51234.37109375,3946.56005859375,3357.669921875,20242.30078125,28237.779296875,20423.83984375,2023-02-24
"2023-02-27",2402.63989257812,11757.7900390625,15452.9599609375,50799.4609375,3965.34008789062,3319.14990234375,19990.19921875,28309.16015625,20351.349609375,2023-02-27
"2023-02-28",2412.85009765625,11566.4501953125,15419.9697265625,51020.6484375,3949.93994140625,3309.55004882812,19973.19921875,28444.189453125,20010.0390625,2023-02-28
"2023-03-02",2427.85009765625,11530.3701171875,15513.4501953125,50725.9609375,4003.580078125,3272.36010742188,19969.19921875,28623.150390625,19943.509765625,2023-03-02
"2023-03-03",2432.07006835938,11514.259765625,15760.4599609375,51078.69921875,4027.26000976562,3310.73999023438,19947.099609375,28143.970703125,19785.939453125,2023-03-03
"2023-03-06",2462.6201171875,11551.33984375,15863.9501953125,50466.25,4026.1201171875,3290.98999023438,20019.69921875,27832.9609375,20619.7109375,2023-03-06
"2023-03-07",2463.35009765625,11421.7802734375,15914.7001953125,50333.1015625,3963.93994140625,3284.22998046875,20023.5,27222.0390625,20429.4609375,2023-03-07
"2023-03-08",2431.90991210938,NA,15830.3095703125,50047.69921875,3957.6298828125,3297.32006835938,19891.69921875,27229.48046875,20567.5390625,2023-03-08
"2023-03-09",2419.09008789062,11566.3798828125,15701.48046875,49342.33984375,4080.11010742188,3283.5400390625,19600.599609375,27010.609375,20603.189453125,2023-03-09
"2023-03-10",2394.59008789062,11809.9501953125,15769.759765625,49630.1484375,4076.57006835938,3296.46997070312,19443.30078125,27333.7890625,20534.48046875,2023-03-10
"2023-03-13",2410.60009765625,11795.099609375,15849.4296875,49946.1015625,4071.69995117188,3246.23999023438,19200.80078125,26945.669921875,20051.25,2023-03-13
"2023-03-14",2348.96997070312,11963.6796875,15868.0595703125,50139.421875,3998.84008789062,3204.75,19306.900390625,27466.609375,19925.740234375,2023-03-14
"2023-03-15",2379.71997070312,12006.58984375,15810.76953125,50426.26171875,3941.26000976562,3201.26000976562,19571.099609375,27419.609375,19319.919921875,2023-03-15
"2023-03-16",2377.90991210938,12075.26953125,15836.5,50097.21875,3933.919921875,3212.5,19349.69921875,27385.25,19695.970703125,2023-03-16
"2023-03-17",2395.68994140625,11973.8603515625,15876.169921875,50578.08984375,3963.51000976562,3221.44995117188,19506.69921875,27476.869140625,19247.9609375,2023-03-17
"2023-03-20",2379.19995117188,11798.76953125,15913.8798828125,50273.890625,3934.3798828125,3224.2099609375,19284.099609375,27518.25,19539.869140625,2023-03-20
"2023-03-21",2388.35009765625,11709.5,15932.9697265625,50440.01953125,3990.56005859375,3204.56005859375,19485.900390625,27883.779296875,19203.91015625,2023-03-21
"2023-03-22",2416.9599609375,11632.330078125,15804.759765625,49648.2109375,4019.64990234375,3204.6298828125,19384.900390625,27782.9296875,19518.58984375,2023-03-22
"2023-03-23",2424.47998046875,11667.7998046875,15929.4296875,49517.859375,3995.32006835938,3230.07006835938,19443.80078125,28041.48046875,19000.7109375,2023-03-23
"2023-03-24",2414.9599609375,11530.4404296875,15963.5498046875,48463.859375,3895.75,3232.43994140625,19588.80078125,28188.150390625,19258.759765625,2023-03-24
"2023-03-27",2409.21997070312,11530.2900390625,15869.4404296875,48993.23828125,3852.36010742188,3195.34008789062,19506.80078125,28287.419921875,19591.4296875,2023-03-27
"2023-03-28",2434.93994140625,11439.1904296875,15770.4697265625,49050.4609375,3817.65991210938,3197.76000976562,19814.5,27813.259765625,20049.640625,2023-03-28
"2023-03-29",2443.919921875,11521.2802734375,15707.51953125,50161.26953125,3821.6201171875,3213.59008789062,19857.099609375,27472.630859375,19915.6796875,2023-03-29
"2023-03-30",2453.15991210938,11598.759765625,15602.990234375,50805.2109375,3878.43994140625,3231.40991210938,19898.900390625,27518.310546875,19567.689453125,2023-03-30
"2023-03-31",2476.86010742188,11486.5302734375,15626.8701171875,51730.5,3822.38989257812,3228.830078125,20025.099609375,27633.66015625,19784.650390625,2023-03-31
"2023-04-03",2472.34008789062,11407.1796875,15370.73046875,52280.05078125,3844.82006835938,3233.669921875,20211.19921875,27923.369140625,20192.400390625,2023-04-03
